Dumbest Girl Alive;100 gecs|Laura Les|Dylan Brady;2:17
757;100 gecs|Laura Les|Dylan Brady;2:06
Hollywood Baby;100 gecs|Laura Les|Dylan Brady;3:07
Frog on the Floor;100 gecs|Laura Les|Dylan Brady;2:41
Doritos & Fritos;100 gecs|Laura Les|Dylan Brady;3:16
Billy Knows Jamie;100 gecs|Laura Les|Dylan Brady;2:43
One Million Dollars;100 gecs|Laura Les|Dylan Brady;2:00
The Most Wanted Person in the United States;100 gecs|Laura Les|Dylan Brady;2:35
I Got My Tooth Removed;100 gecs|Laura Les|Dylan Brady;3:17
MeMeMe;100 gecs|Laura Les|Dylan Brady;2:46
